[49.145.38.176 | 16-Feb-2023 10:53:52] 2-Super Admin: Generate Nth-payslip for Feb1-15-2023
[49.145.38.176 | 16-Feb-2023 10:55:53] 2-Super Admin: Generate Nth-payslip for Feb1-15-2023
[49.145.38.176 | 16-Feb-2023 10:55:54] 2-Super Admin: Generate Nth-payslip for Feb1-15-2023
[49.145.38.176 | 16-Feb-2023 11:00:08] 2-Super Admin: Generate Nth-payslip for Feb1-15-2023
[49.145.38.176 | 16-Feb-2023 11:00:09] 2-Super Admin: Generate Nth-payslip for Feb1-15-2023
[49.145.38.176 | 16-Feb-2023 11:04:29] 2-Super Admin: Generate Nth-distribution for Feb1-15-2023
[49.145.38.176 | 16-Feb-2023 11:04:29] 2-Super Admin: Generate Nth-distribution for Feb1-15-2023
[49.145.38.176 | 16-Feb-2023 11:05:29] 2-Super Admin: Generate Distribution for asdasd
[49.145.38.176 | 16-Feb-2023 11:05:29] 2-Super Admin: Generate Distribution for asdasd
[49.145.38.176 | 16-Feb-2023 11:05:48] 2-Super Admin: Generate Nth-payslip for Feb1-15-2023
[49.145.38.176 | 16-Feb-2023 11:05:49] 2-Super Admin: Generate Nth-payslip for Feb1-15-2023
[49.145.38.176 | 16-Feb-2023 11:28:51] 2-Super Admin: Logged in.
[49.145.38.176 | 16-Feb-2023 11:29:24] 2-Super Admin: Generate Nth-distribution for Feb1-15-2023
[49.145.38.176 | 16-Feb-2023 11:29:24] 2-Super Admin: Generate Nth-distribution for Feb1-15-2023
[49.145.38.176 | 16-Feb-2023 11:37:58] 2-Super Admin: Added Payroll February1-15-2023 Array Success.
[49.145.38.176 | 16-Feb-2023 11:48:43] 2-Super Admin: Added Payroll Test-Feb-1-15-2023 Array Success.
[49.145.38.176 | 16-Feb-2023 11:49:28] 2-Super Admin: Generate Payslip for Test-Feb-1-15-2023
[49.145.38.176 | 16-Feb-2023 11:49:29] 2-Super Admin: Generate Payslip for Test-Feb-1-15-2023
[49.145.38.176 | 16-Feb-2023 11:50:38] 2-Super Admin: Generate Distribution for Test-Feb-1-15-2023
[49.145.38.176 | 16-Feb-2023 11:50:38] 2-Super Admin: Generate Distribution for Test-Feb-1-15-2023
[49.145.38.176 | 16-Feb-2023 11:51:52] 2-Super Admin: Add leave for Adams Alfie 2023-02-07 - 0
[49.145.38.176 | 16-Feb-2023 12:01:41] 2-Super Admin: Added Payroll Test2-February1-15-2023 Array Success.
[49.145.38.176 | 16-Feb-2023 13:01:56] 2-Super Admin: Logged in.
[49.145.38.176 | 16-Feb-2023 13:31:39] 2-Super Admin: Disabled 13th month setting
[49.145.38.176 | 16-Feb-2023 13:44:08] 2-Super Admin: Added Payroll Test3-Feb-1-15-2023 Array Success.
[49.145.38.176 | 16-Feb-2023 13:52:19] 2-Super Admin: Added Payroll Test4 Array Success.
[49.145.38.176 | 16-Feb-2023 13:53:43] 2-Super Admin: Generate Distribution for Test4
[49.145.38.176 | 16-Feb-2023 13:53:43] 2-Super Admin: Generate Distribution for Test4
[49.148.241.206 | 17-Feb-2023 08:09:20] 2-Super Admin: Logged in.
[49.148.241.206 | 17-Feb-2023 08:12:30] 2-Super Admin: Added Payroll Test1 Array Success.
[49.148.241.206 | 17-Feb-2023 08:14:48] 2-Super Admin: Generate Payslip for Test1
[49.148.241.206 | 17-Feb-2023 08:14:51] 2-Super Admin: Generate Payslip for Test1
[49.148.241.206 | 17-Feb-2023 08:18:54] 2-Super Admin: Added Payroll Test2 Array Success.
[49.148.241.206 | 17-Feb-2023 08:25:52] 2-Super Admin: Generate Payslip for Test2
[49.148.241.206 | 17-Feb-2023 08:25:55] 2-Super Admin: Generate Payslip for Test2
[49.148.241.206 | 17-Feb-2023 08:32:39] 2-Super Admin: Added Payroll Test3 Array Success.
[49.148.241.206 | 17-Feb-2023 08:33:42] 2-Super Admin: Generate Payslip for Test3
[49.148.241.206 | 17-Feb-2023 08:33:44] 2-Super Admin: Generate Payslip for Test3
[49.148.241.206 | 17-Feb-2023 08:33:54] 2-Super Admin: Generate Distribution for Test3
[49.148.241.206 | 17-Feb-2023 08:33:55] 2-Super Admin: Generate Distribution for Test3
[49.148.241.206 | 17-Feb-2023 09:08:46] 2-Super Admin: Added Payroll Test3 Array Error.
[49.148.241.206 | 17-Feb-2023 09:08:54] 2-Super Admin: Added Payroll Test4 Array Success.
[49.148.241.206 | 17-Feb-2023 09:09:57] 2-Super Admin: Generate Payslip for Test4
[49.148.241.206 | 17-Feb-2023 09:10:00] 2-Super Admin: Generate Payslip for Test4
[49.148.241.206 | 17-Feb-2023 09:11:28] 2-Super Admin: Enable 13th month setting
[49.148.241.206 | 17-Feb-2023 09:14:32] 2-Super Admin: Added Payroll Test5 Array Success.
[49.148.241.206 | 17-Feb-2023 10:24:38] 2-Super Admin: Added Payroll Test6 Array Success.
[49.148.241.206 | 17-Feb-2023 10:29:08] 2-Super Admin: Added 13th Month Test1 Array Success.
[49.148.241.206 | 17-Feb-2023 10:29:53] 2-Super Admin: Generate Nth-payslip for Test1
[49.148.241.206 | 17-Feb-2023 10:29:56] 2-Super Admin: Generate Nth-payslip for Test1
[49.148.241.206 | 17-Feb-2023 10:30:19] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:30:20] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:35:57] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:35:57] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:38:17] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:38:17] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:42:11] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:42:11] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:42:50] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:42:50] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:44:18] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:44:18] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:47:04] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:47:04] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:48:44] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:48:44] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:49:59] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:49:59] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:50:55] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:50:55] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:51:45] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:51:45] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:53:06] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:53:06] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:55:14] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:55:14] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:56:27] 2-Super Admin: Generate Nth-payslip for Test1
[49.148.241.206 | 17-Feb-2023 10:56:28] 2-Super Admin: Generate Nth-payslip for Test1
[49.148.241.206 | 17-Feb-2023 10:56:34] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:56:34] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:58:26] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 10:58:26] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:00:25] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:00:25] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:01:18] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:01:18] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:02:19] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:02:19] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:05:56] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:05:56] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:06:47] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:06:47] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:08:55] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:08:55] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:10:54] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:10:54] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:11:51] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:11:51] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:12:44] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:12:44] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:13:22] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:13:22] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:30:14] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:30:14] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.241.206 | 17-Feb-2023 11:30:58] 2-Super Admin: Generate Nth-payslip for Test1
[49.148.241.206 | 17-Feb-2023 11:30:59] 2-Super Admin: Generate Nth-payslip for Test1
[49.148.241.206 | 17-Feb-2023 11:32:02] 2-Super Admin: Generate Payslip for Test6
[49.148.241.206 | 17-Feb-2023 11:32:03] 2-Super Admin: Generate Payslip for Test6
[49.148.241.206 | 17-Feb-2023 11:32:14] 2-Super Admin: Generate Distribution for Test6
[49.148.241.206 | 17-Feb-2023 11:32:14] 2-Super Admin: Generate Distribution for Test6
[49.148.241.206 | 17-Feb-2023 12:02:24] 2-Super Admin: Logged out.
[49.148.241.206 | 17-Feb-2023 13:00:33] 2-Super Admin: Logged in.
[49.148.241.206 | 17-Feb-2023 13:04:37] 2-Super Admin: Generate Nth-payslip for Test1
[49.148.241.206 | 17-Feb-2023 13:04:38] 2-Super Admin: Generate Nth-payslip for Test1
[49.145.38.79 | 20-Feb-2023 15:15:45] 2-Super Admin: Logged in.
[49.145.38.79 | 20-Feb-2023 15:24:20] 2-Super Admin: Added Payroll Alfie payroll Array Success.
[49.145.38.79 | 20-Feb-2023 15:24:32] 2-Super Admin: Generate Distribution for Alfie payroll
[49.145.38.79 | 20-Feb-2023 15:24:33] 2-Super Admin: Generate Distribution for Alfie payroll
[49.145.38.79 | 20-Feb-2023 15:26:41] 2-Super Admin: Generate Payslip for Alfie payroll
[49.145.38.79 | 20-Feb-2023 15:26:42] 2-Super Admin: Generate Payslip for Alfie payroll
[49.148.247.152 | 22-Feb-2023 08:04:03] 2-Super Admin: Logged in.
[49.148.247.152 | 22-Feb-2023 08:34:41] 2-Super Admin: Disabled 13th month setting
[49.148.247.152 | 22-Feb-2023 08:35:02] 2-Super Admin: Enable 13th month setting
[49.148.247.152 | 22-Feb-2023 09:16:48] 2-Super Admin: Added 13th Month Test1 Array Success.
[49.148.247.152 | 22-Feb-2023 09:33:19] 2-Super Admin: Generate Nth-payslip for Test1
[49.148.247.152 | 22-Feb-2023 09:33:20] 2-Super Admin: Generate Nth-payslip for Test1
[49.148.247.152 | 22-Feb-2023 09:40:16] 2-Super Admin: Generate Nth-payslip for Test1
[49.148.247.152 | 22-Feb-2023 09:40:17] 2-Super Admin: Generate Nth-payslip for Test1
[49.148.247.152 | 22-Feb-2023 09:42:11] 2-Super Admin: Generate Nth-distribution for Test1
