[49.145.46.122 | 15-Mar-2023 15:45:27] 2-Super Admin: Add timelog for biometric ID 1 First Time out : 2023-03-13 11:00
[49.145.46.122 | 15-Mar-2023 15:45:28] 2-Super Admin: Add timelog for biometric ID 1 Second Time in : 2023-03-13 13:00
[49.145.46.122 | 15-Mar-2023 15:45:29] 2-Super Admin: Add timelog for biometric ID 1 Second Time out : 2023-03-13 17:00
[49.145.46.122 | 15-Mar-2023 15:47:01] 2-Super Admin: Add timelog for biometric ID 1 First Time in : 2023-04-03 8:00
[49.145.46.122 | 15-Mar-2023 15:47:02] 2-Super Admin: Add timelog for biometric ID 1 First Time out : 2023-04-03 11:00
[49.145.46.122 | 15-Mar-2023 15:47:03] 2-Super Admin: Add timelog for biometric ID 1 Second Time in : 2023-04-03 13:00
[49.145.46.122 | 15-Mar-2023 15:47:04] 2-Super Admin: Add timelog for biometric ID 1 Second Time out : 2023-04-03 17:00
[49.145.46.122 | 15-Mar-2023 15:47:34] 2-Super Admin: Add timelog for biometric ID 1 First Time in : 2023-04-04 8:00
[49.145.46.122 | 15-Mar-2023 15:47:35] 2-Super Admin: Add timelog for biometric ID 1 First Time out : 2023-04-04 11:00
[49.145.46.122 | 15-Mar-2023 15:47:36] 2-Super Admin: Add timelog for biometric ID 1 Second Time in : 2023-04-04 13:00
[49.145.46.122 | 15-Mar-2023 15:47:37] 2-Super Admin: Add timelog for biometric ID 1 Second Time out : 2023-04-04 17:00
[49.145.46.122 | 15-Mar-2023 15:47:58] 2-Super Admin: Add timelog for biometric ID 1 First Time in : 2023-04-05 8:00
[49.145.46.122 | 15-Mar-2023 15:47:59] 2-Super Admin: Add timelog for biometric ID 1 First Time out : 2023-04-05 11:00
[49.145.46.122 | 15-Mar-2023 15:48:00] 2-Super Admin: Add timelog for biometric ID 1 Second Time in : 2023-04-05 13:00
[49.145.46.122 | 15-Mar-2023 15:48:01] 2-Super Admin: Add timelog for biometric ID 1 Second Time out : 2023-04-05 17:00
[49.145.46.122 | 15-Mar-2023 15:48:02] 2-Super Admin: Add timelog for biometric ID 1 OT in : 2023-04-05 17:00
[49.145.46.122 | 15-Mar-2023 15:48:03] 2-Super Admin: Add timelog for biometric ID 1 OT out : 2023-04-05 18:00:00
[49.145.46.122 | 15-Mar-2023 15:48:27] 2-Super Admin: Add timelog for biometric ID 1 First Time in : 2023-04-06 8:05
[49.145.46.122 | 15-Mar-2023 15:48:28] 2-Super Admin: Add timelog for biometric ID 1 First Time out : 2023-04-06 11:00
[49.145.46.122 | 15-Mar-2023 15:48:29] 2-Super Admin: Add timelog for biometric ID 1 Second Time in : 2023-04-06 13:00
[49.145.46.122 | 15-Mar-2023 15:48:30] 2-Super Admin: Add timelog for biometric ID 1 Second Time out : 2023-04-06 17:00
[49.145.46.122 | 15-Mar-2023 15:48:46] 2-Super Admin: Add timelog for biometric ID 1 First Time in : 2023-04-07 7:30
[49.145.46.122 | 15-Mar-2023 15:48:47] 2-Super Admin: Add timelog for biometric ID 1 First Time out : 2023-04-07 11:00
[49.145.46.122 | 15-Mar-2023 15:48:48] 2-Super Admin: Add timelog for biometric ID 1 Second Time in : 2023-04-07 13:00
[49.145.46.122 | 15-Mar-2023 15:48:49] 2-Super Admin: Add timelog for biometric ID 1 Second Time out : 2023-04-07 17:00
[49.145.46.122 | 15-Mar-2023 15:49:01] 2-Super Admin: Add timelog for biometric ID 1 First Time in : 2023-04-10 8:00
[49.145.46.122 | 15-Mar-2023 15:49:02] 2-Super Admin: Add timelog for biometric ID 1 First Time out : 2023-04-10 11:00
[49.145.46.122 | 15-Mar-2023 15:49:03] 2-Super Admin: Add timelog for biometric ID 1 Second Time in : 2023-04-10 13:00
[49.145.46.122 | 15-Mar-2023 15:49:04] 2-Super Admin: Add timelog for biometric ID 1 Second Time out : 2023-04-10 17:00
[49.145.46.122 | 15-Mar-2023 15:50:25] 2-Super Admin: Added Payroll test2 Array Success.
[49.145.46.122 | 15-Mar-2023 15:50:48] 2-Super Admin: Generate Payslip for test2
[49.145.46.122 | 15-Mar-2023 15:50:49] 2-Super Admin: Generate Payslip for test2
[49.145.46.122 | 15-Mar-2023 15:50:59] 2-Super Admin: Generate Distribution for test2
[49.145.46.122 | 15-Mar-2023 15:50:59] 2-Super Admin: Generate Distribution for test2
[49.145.46.122 | 15-Mar-2023 15:56:38] 2-Super Admin: Add holiday 0 on 2023-04-06
[49.145.46.122 | 15-Mar-2023 16:00:40] 2-Super Admin: Add holiday 1 on 2023-04-04
[49.145.46.122 | 15-Mar-2023 16:05:26] 2-Super Admin: Add timelog for biometric ID 1 for OTin : 2023-04-03 23:00:00
[49.145.46.122 | 15-Mar-2023 16:05:46] 2-Super Admin: Add timelog for biometric ID 1 for OTout : 2023-04-04 1:00:00
[49.145.46.122 | 15-Mar-2023 16:06:25] 2-Super Admin: Log 2023-04-04 01:00                                   
                     
                                                 for Adams, Alfie successfully Deleted
[49.145.46.122 | 15-Mar-2023 16:06:38] 2-Super Admin: Add timelog for biometric ID 1 for OTout : 2023-04-03 1:00:00
[49.145.46.122 | 15-Mar-2023 16:07:21] 2-Super Admin: Log 2023-04-03 01:00                                   
                     
                                                 for Adams, Alfie successfully Deleted
[49.145.46.122 | 15-Mar-2023 16:07:40] 2-Super Admin: Add timelog for biometric ID 1 for OTout : 2023-04-03 0:00:00
[49.145.46.122 | 15-Mar-2023 16:18:28] 2-Super Admin: Log 2023-04-03 01:00                                   
                     
                                                 for Adams, Alfie successfully Deleted
[49.145.46.122 | 15-Mar-2023 16:18:55] 2-Super Admin: Add timelog for biometric ID 1 for OTout : 2023-04-03 23:00:00
[49.145.46.122 | 15-Mar-2023 16:46:34] 2-Super Admin: Add timelog for biometric ID 1 for ftimeIn : 2023-04-02 8:00:00
[49.145.46.122 | 15-Mar-2023 16:46:50] 2-Super Admin: Add timelog for biometric ID 1 for ftimeOut : 2023-04-02 11:00:00
[49.145.46.122 | 15-Mar-2023 16:55:48] 2-Super Admin: Add timelog for biometric ID 1 for stimeIn : 2023-04-02 13:00:00
