[58.71.120.250 | 30-Jan-2024 14:04:50] 187-Employee  User: Logged in.
[122.55.76.9 | 30-Jan-2024 14:05:08] 187-Employee  User: Add timelog for biometric ID 333333333 Time In : 2024-01-30 14:05
[122.55.76.9 | 30-Jan-2024 14:07:52] 187-Employee  User: Add timelog for biometric ID 333333333 Time Out : 2024-01-30 14:07
[58.71.120.250 | 30-Jan-2024 14:08:35] 187-Employee  User: Add timelog for biometric ID 333333333 Time In : 2024-01-30 14:08
[58.71.120.250 | 30-Jan-2024 14:08:48] 187-Employee  User: Add timelog for biometric ID 333333333 Time Out : 2024-01-30 14:08
[120.28.228.216 | 30-Jan-2024 14:09:40] 187-Employee  User: Logged in.
[58.71.120.250 | 30-Jan-2024 14:11:32] 187-Employee  User: Logged out.
[122.55.76.9 | 30-Jan-2024 14:11:51] 186-HR User: Logged in.
[120.28.228.216 | 30-Jan-2024 14:19:04] 185-Admin User: Logged in.
[122.55.76.9 | 30-Jan-2024 14:31:55] 186-HR User: Logged out.
[58.71.120.250 | 30-Jan-2024 14:32:03] 186-HR User: Logged in.
[58.71.120.250 | 30-Jan-2024 14:32:59] 186-HR User: Logged out.
[58.71.120.250 | 30-Jan-2024 14:33:17] 185-Admin User: Logged in.
[49.145.38.234 | 30-Jan-2024 14:33:31] 2-Super Admin: Logged out.
[49.145.38.234 | 30-Jan-2024 14:33:55] 186-HR User: Logged in.
[49.145.38.234 | 30-Jan-2024 14:34:47] 186-HR User: Logged out.
[49.145.38.234 | 30-Jan-2024 14:34:53] 2-Super Admin: Logged in.
[49.145.38.234 | 30-Jan-2024 14:35:51] 2-Super Admin: Set Holiday Actual Rate.
[49.145.38.234 | 30-Jan-2024 14:35:51] 2-Super Admin: Set Nightdiff Actual Rate.
[49.145.38.234 | 30-Jan-2024 14:35:53] 2-Super Admin: Set Leave Actual Rate.
[49.145.38.234 | 30-Jan-2024 14:35:53] 2-Super Admin: Set Overtime Actual Rate.
[49.145.38.234 | 30-Jan-2024 14:38:09] 2-Super Admin: Unset Holiday Actual Rate.
