[120.28.237.63 | 27-Jul-2023 15:41:14] 2-Admin User: Logged in.
[120.28.237.63 | 27-Jul-2023 15:48:47] 2-Admin User: Add timelog for biometric ID 897645 for ftimeIn : 2023-07-14 7:50:00
[120.28.237.63 | 27-Jul-2023 15:49:15] 2-Admin User: Add timelog for biometric ID 897645 for stimeOut : 2023-07-14 17:01:00
[120.28.237.63 | 27-Jul-2023 15:50:16] 2-Admin User: Added/Updated User Schedules
[120.28.237.63 | 27-Jul-2023 16:00:48] 2-Admin User: Add timelog for biometric ID 897645 for ftimeIn : 2023-07-19 7:30:00
[120.28.237.63 | 27-Jul-2023 16:00:59] 2-Admin User: Add timelog for biometric ID 897645 for stimeOut : 2023-07-19 17:30:00
[110.54.231.121 | 27-Jul-2023 16:06:00] 2-Admin User: Add timelog for biometric ID 23 for ftimeIn : 2023-07-26 6:00:00
[110.54.231.121 | 27-Jul-2023 17:04:09] 2-Admin User: Add timelog for biometric ID 111111 for ftimeIn : 2023-07-26 8:30:00
[110.54.231.121 | 27-Jul-2023 18:26:35] 2-Admin User: Add timelog for biometric ID 123 for ftimeIn : 2023-07-27 6:27:00
[110.54.231.121 | 27-Jul-2023 18:27:13] 2-Admin User: Add timelog for biometric ID 123 for stimeOut : 2023-07-27 14:23:00
[110.54.231.121 | 27-Jul-2023 18:34:21] 2-Admin User: Create Schedule AM ADMIN
[110.54.231.121 | 27-Jul-2023 18:35:56] 2-Admin User: Update Schedule ID 264 to 118
[110.54.231.121 | 27-Jul-2023 18:39:30] 2-Admin User: Added/Updated User Schedules
[110.54.231.121 | 27-Jul-2023 18:40:36] 2-Admin User: Add timelog for biometric ID 123098 for ftimeIn : 2023-07-27 8:22:00
[110.54.231.121 | 27-Jul-2023 18:41:14] 2-Admin User: Add timelog for biometric ID 123098 for stimeOut : 2023-07-27 16:00:00
[110.54.231.121 | 27-Jul-2023 18:42:35] 2-Admin User: Added/Updated User Schedules
[110.54.231.121 | 27-Jul-2023 18:43:07] 2-Admin User: Add timelog for biometric ID 151515 for ftimeIn : 2023-07-27 8:22:00
[110.54.231.121 | 27-Jul-2023 18:43:41] 2-Admin User: Add timelog for biometric ID 151515 for ftimeOut : 2023-07-27 12:00:00
[110.54.231.121 | 27-Jul-2023 18:44:03] 2-Admin User: Add timelog for biometric ID 151515 for stimeOut : 2023-07-27 16:00:00
[110.54.231.121 | 27-Jul-2023 18:44:17] 2-Admin User: Add timelog for biometric ID 151515 for stimeIn : 2023-07-27 13:00:00
[120.28.244.19 | 28-Jul-2023 09:19:31] 2-Admin User: Logged in.
[120.28.244.19 | 28-Jul-2023 09:37:10] 2-Admin User: Logged out.
[120.28.244.19 | 28-Jul-2023 09:37:40] 2-Admin User: Logged in.
[120.28.244.19 | 28-Jul-2023 10:21:28] 2-Admin User: Logged in.
[120.28.244.19 | 28-Jul-2023 10:29:40] 2-Admin User: Logged in.
[120.28.244.19 | 28-Jul-2023 10:34:30] 42-Miguelito Bonares: Logged in.
[120.28.244.19 | 28-Jul-2023 11:54:12] 42-Miguelito Bonares: Logged in.
[120.28.244.19 | 28-Jul-2023 13:31:36] 2-Admin User: Logged in.
[120.28.244.19 | 28-Jul-2023 13:35:31] 42-Miguelito Bonares: Logged in.
[120.28.244.19 | 28-Jul-2023 14:19:47] 2-Admin User: Generate Payslip for bonares
[120.28.244.19 | 28-Jul-2023 14:19:48] 2-Admin User: Generate Payslip for bonares
[120.28.244.19 | 28-Jul-2023 14:20:01] 2-Admin User: Generate Distribution for bonares
[120.28.244.19 | 28-Jul-2023 14:20:01] 2-Admin User: Generate Distribution for bonares
[49.148.249.230 | 28-Jul-2023 14:27:18] 2-Admin User: Logged in.
[49.148.249.230 | 28-Jul-2023 14:28:10] 2-Admin User: Set Holiday amount.
[49.148.249.230 | 28-Jul-2023 14:28:30] 2-Admin User: Set Leave Actual Rate.
[49.148.249.230 | 28-Jul-2023 14:28:40] 2-Admin User: Unset Overtime Actual Rate.
[49.148.249.230 | 28-Jul-2023 14:28:42] 2-Admin User: Set Overtime amount.
[49.148.249.230 | 28-Jul-2023 14:31:55] 2-Admin User: Added Payroll Test12345 Array Success.
[49.148.249.230 | 28-Jul-2023 14:32:15] 2-Admin User: Generate Payslip for Test12345
[49.148.249.230 | 28-Jul-2023 14:33:47] 2-Admin User: Generate Payslip for Test12345
[49.148.249.230 | 28-Jul-2023 14:33:47] 2-Admin User: Generate Distribution for Test12345
[49.148.249.230 | 28-Jul-2023 14:33:47] 2-Admin User: Generate Distribution for Test12345
