[49.145.34.125 | 15-Nov-2023 15:58:01] 2-Super Admin: Added Payroll test Array Success.
[49.145.34.125 | 15-Nov-2023 15:58:32] 2-Super Admin: Generate Payslip for test
[49.145.34.125 | 15-Nov-2023 15:58:33] 2-Super Admin: Generate Payslip for test
[49.145.34.125 | 15-Nov-2023 15:58:53] 2-Super Admin: Generate Distribution for test
[49.145.34.125 | 15-Nov-2023 15:58:53] 2-Super Admin: Generate Distribution for test
[120.28.249.180 | 17-Nov-2023 13:01:54] 2-Super Admin: Logged in.
[120.28.249.180 | 17-Nov-2023 14:33:43] 42-Miguelito Bonares: Logged in.
[120.28.249.180 | 17-Nov-2023 15:47:28] 2-Super Admin: Logged in.
[120.28.248.76 | 21-Nov-2023 13:05:10] 2-Super Admin: Logged in.
[120.28.248.76 | 21-Nov-2023 13:23:09] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.248.76 | 21-Nov-2023 13:23:17] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.248.76 | 21-Nov-2023 13:23:25] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.248.76 | 21-Nov-2023 13:23:32] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.248.76 | 21-Nov-2023 13:24:14] 2-Super Admin: Add timelog for biometric ID 897645 First Time in : 2023-11-21 8:00
[120.28.248.76 | 21-Nov-2023 13:24:15] 2-Super Admin: Add timelog for biometric ID 897645 First Time out : 2023-11-21 12:00
[120.28.248.76 | 21-Nov-2023 13:24:16] 2-Super Admin: Add timelog for biometric ID 897645 Second Time in : 2023-11-21 13:00
[120.28.248.76 | 21-Nov-2023 13:24:17] 2-Super Admin: Add timelog for biometric ID 897645 Second Time out : 2023-11-21 17:00
[120.28.248.76 | 21-Nov-2023 13:25:29] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.248.76 | 21-Nov-2023 13:25:37] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.248.76 | 21-Nov-2023 13:25:44] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.248.76 | 21-Nov-2023 13:25:51] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.248.76 | 21-Nov-2023 13:50:19] 2-Super Admin: Add timelog for biometric ID 897645 First Time in : 2023-11-21 8:00
[120.28.248.76 | 21-Nov-2023 13:50:20] 2-Super Admin: Add timelog for biometric ID 897645 First Time out : 2023-11-21 12:00
